Product,Category,Ingredients
"Meijer Antiseptic Mouth Rinse, Fresh Mint (2019 formulation) Rating",Mouthwash,Active Ingredients: methyl salicylate 0.06%  EUCALYPTOL 0.092%  MENTHOL 0.042%  THYMOL 0.064%; Inactive Ingredients: WATER  ALCOHOL 21.6%  SORBITOL SOLUTION  FLAVOR  POLOXAMER 407  BENZOIC ACID  SODIUM SACCHARIN  SODIUM CITRATE  D&C YELLOW NO. 10  FD&C GREEN NO. 3
"Naturium Phyto-Glow Lip Balm, Jam Rating",Lip Balm,Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate  Diisostearyl Malate  Hydrogenated Polyisobutene  Polybutene  Polyglyceryl-2 Diisostearate  Butyrospermum Parkii (Shea) Butter  Microcrystalline Wax  Flavor  Synthetic Wax  Mica  Ricinus Communis Seed Oil  Squalane  Theobroma Grandiflorum Seed Butter  Isopropyl Titanium Triisostearate  Tocopherol  Citric Acid. MAY CONTAIN: Titanium Dioxide  Iron Oxides  Red 7 Lake  Blue 1 Lake  Red 6 Lake  Yellow 5 Lake  Red 33 Lake.
Colgate Renewal High Impact Teeth Whitening Toothpaste Rating,Toothpaste,Active Ingredients: Sodium Monofluorophosphate (0.12% w/v Fluoride Ion) 0.76%; Inactive Ingredients: INACTIVE INGREDIENTS: PROPYLENE GLYCOL  CALCIUM PYROPHOSPHATE  PVP  PEG/PPG-116/66 COPOLYMER  HYDROGEN PEROXIDE (3% W/V)  FLAVOR  SODIUM LAURYL SULFATE  TETRASODIUM PYROPHOSPHATE  SODIUM SACCHARIN  DISODIUM PYROPHOSPHATE  SILICA  SUCRALOSE  BHT
"Chapstick Lip Care, Orange Cream (2020 formulation) Rating",Lip Balm,PETROLATUM  PARAFFIN  MINERAL OIL  OCTYLDODECANOL  BIS-DIGLYCERYL POLYACYLADIPATE-2  FLAVOR  ARACHIDYL PROPIONATE  PHENYL TRIMETHICONE  BEESWAX  COPERNICIA CERIFERA CAMAUBA) WAX  ISOPROPYL MYRISTATE  CAPRYLIC/CAPRIC TRIGLYCERIDE  CETYL ALCOHOL  TRIACETIN  LECITHIN (SOY)  SACCHARIN  RICINUS COMMUNIS (CASTOR) SEED OIL  YELLOW 6 LAKE
Publix Antibacterial Original Scent Liquid Hand Soap (2018 formulation),Liquid Hand Soap,Active Ingredients: BENZALKONIUM CHLORIDE 0.13%; Inactive Ingredients: WATER  LAURAMINE OXIDE  COCAMIDOPROPYL BETAINE  LAURAMIDOPROPYLAMINE OXIDE  SODIUM CHLORIDE  MYRISTAMIDOPROPYLAMINE OXIDE  GLYCERIN  FRAGRANCE  DISTEARETH-75 IPDI  PEG-150 DISTEARATE  CITRIC ACID  TETRASODIUM EDTA  BENZOPHENONE-4  SODIUM BENZOATE  RED 4  YELLOW 5
"Scent Theory Outer Banks Foaming Hand Soap, Beach Rose Rating",Liquid Hand Soap,WATER (AQUA)  SODIUM C14-16 OLEFIN SULFONATE  COCAMIDOPROPYL BETAINE  FRAGRANCE (PARFUM)  SODIUM METHYL COCOYL TAURATE  GLYCERIN  TETRASODIUM GLUTAMATE DIACETATE  CITRIC ACID  POLYQUATERNIUM-10  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  RED 33  RED 28.
Manuka Lane DARK SPOT CORRECTOR Rating,Skin Fading/Lightener,Water  Glycerin  Cetearyl Olivate  Prunus Amygdalus Dulcis (Sweet Almond) Oil  Sorbitan Olivate  Manuka Honey  Phenoxyethanol  Melissa Officinalis Leaf Extract  Mentha Piperita (Peppermint) Leaf Extract  Alchemilla Vulgaris Extract  Primula Veris Extract  Achillea Millefolium Extract  Veronica Officinalis Extract  Malva Sylvestris (Mallow) Extract  Xanthan Gum  Ethylhexylglycerin  Parfum
"Find Your Happy Place Festivals & Fireworks Foaming Hand Wash, Sparkling",Liquid Hand Soap,WATER (AQUA)  CAPRYLYL/CAPRYL GLUCOSIDE  COCAMIDOPROPYL BETAINE  GLYCERIN  FRAGRANCE (PARFUM)  DECYL GLUCOSIDE  SODIUM METHYL COCOYL TAURATE  GLUCONOLACTONE  POLYSORBATE 20  SODIUM BENZOATE  CITRIC ACID  ALOE BARBADENSIS LEAF JUICE  TETRASODIUM GLUTAMATE DIACETATE  TOCOPHERYL ACETATE  THEOBROMA CACAO (COCOA) SEED BUTTER  BUTYROSPERMUM PARKII (SHEA) BUTTER  COCOS NUCIFERA (COCONUT) OIL  HYDROXYCITRONELLAL  LIMONENE  LINALOOL  RED 33 (CI 17200)  RED 4 (CI 14700).
"Walgreens, Antibacterial Hand Soap, Original Scent Rating",Liquid Hand Soap,Active Ingredients: Benzalkonium chloride 0.13%; Inactive Ingredients: WATER  LAURAMINE OXIDE  COCAMIDOPROPYL BETAINE  LAURAMIDOPROPYLAMINE OXIDE  SODIUM CHLORIDE  MYRISTAMIDOPROPYLAMINE OXIDE  GLYCERIN  FRAGRANCE  DISTEARETH-75 IPDI  PEG-150 DISTEARATE  CITRIC ACID  TETRASODIUM EDTA  BENZOPHENONE-4  SODIUM BENZOATE  RED 4  YELLOW 5
"Colgate Total Sf Anticavity, Antigingivitis and Antisensitivity",Toothpaste,Active Ingredients: STANNOUS FLUORIDE 0.454% (0.15% W/V FLUORIDE ION) 0.454%; Inactive Ingredients: WATER  SORBITOL  HYDRATED SILICA  GLYCERIN  PEG-12  TETRASODIUM PYROPHOSPHATE  SODIUM LAURYL SULFATE  MICROCRYSTALLINE CELLULOSE  SODIUM CITRATE  ZINC PHOSPHATE  FLAVOR  CELLULOSE GUM  SODIUM SACCHARIN  COCAMIDOPROPYL BETAINE  XANTHAN GUM  CITRIC ACID  SUCRALOSE  MICA  TITANIUM DIOXIDE  BLUE 1  YELLOW 10
"Secret Freshies On-the-Go Invisible Solid Antiperspirant/Deodorant, Cool",Antiperspirant/Deodorant,Active Ingredients: ALUMINUM ZIRCONIUM TRICHLOROHYDREX GLY (ANHYDROUS) 18.0%; Inactive Ingredients: CYCLOPENTASILOXANE  STEARYL ALCOHOL  MINERAL OIL  DIMETHICONE  TALC  PETROLATUM  HYDROGENATED CASTOR OIL  PPG-14 BUTYL ETHER  FRAGRANCE  CYCLODEXTRIN  BEHENYL ALCOHOL
"Daylogic Liquid Hand Soap, Lavender & Shea Butter Rating",Liquid Hand Soap,WATER  SODIUM C14-16 OLEFIN SULFONATE  SODIUM CHLORIDE  SODIUM LAURETH SULFATE  SODIUM LAURYL SULFATE  COCAMIDOPROPYL BETAINE  GLYCERIN  COCAMIDE MEA  FRAGRANCE  LINALOOL  GERANIOL  GLYCOL STEARATE  GLYCOL DISTEARATE  CITRIC ACID  LAURETH-4  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  POLYQUATERNIUM-7  EXT. VIOLET 2
"Safeguard Liquid Hand Soap Refill, Fresh Clean Rating",Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  COCAMIDOPROPYL BETAINE  SODIUM CHLORIDE  FRAGRANCE  SODIUM CITRATE  SODIUM XYLENESULFONATE  SODIUM BENZOATE  GLYCOL DISTEARATE  CITRIC ACID  DISODIUM EDTA  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE
"Chapstick Party Favor Lip Balm Pack, Birthday Cake Rating",Lip Balm,PETROLATUM  PARAFFIN  MINERAL OIL  OCTYLDODECANOL  BIS-DIGLYCERYL POLYACYLADIPATE-2  CAPRYLIC/CAPRIC TRIGLYCERIDE  PHENYL TRIMETHICONE  ARACHIDYL PROPIONATE  BEESWAX  ISOPROPYL MYRISTATE  COPERNICIA CERIFERA (CARNAUBA) WAX  LECITHIN (SOY)  CETYL ALCOHOL  FLAVOR  TRIACETIN  BENZYL BENZOATE  SACCHARIN  TITANIUM DIOXIDE  SYNTHETIC WAX  ISOPROPYL TITANIUM TRIISOSTEARATE
Star Wars the Mandalorian Lip Balm Rating,Lip Balm,PETROLATUM  MINERAL OIL  BEESWAX  CERESIN  ETHYLHEXYL PALMITATE  POLYBUTENE  MICROCRYSTALLINE WAX  PROPYLPARABEN  BHT  NEOTAME  IRON OXIDES  BLUE 1.
"Gelo Foaming Hand Soap, Lemon, Basil, Geranium Rating",Liquid Hand Soap,POLYGLYCERYL-2 CAPRATE  PROPYLENE GLYCOL  DISODIUM COCO-GLUCOSIDE CITRATE  POLYSORBATE-20  PHENOXYETHANOL  SODIUM LAUROYL SARCOSINATE  SODIUM LAURETH SULFATE  FRAGRANCE  WATER  POLYVINYL ALCOHOL  POTASSIUM OLIVOYL HYDROLYZED OAT PROTEIN  BUTYROSPERMUM PARKII (SHEA) OIL  CITRAL  GERANIOL  LIMONENE  LINALOOL  YELLOW 5.
Dove Advanced Care Antiperspirant Deodorant Invisible Dry Spray Rating,Antiperspirant/Deodorant,Active Ingredients: Aluminum Chlorohydrate 20.2%; Inactive Ingredients: BUTANE  HYDROFLUOROCARBON 152A  CYCLOPENTASILOXANE  ISOBUTANE  PPG-14 BUTYL ETHER  FRAGRANCE (PARFUM)  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  DISTEARDIMONIUM HECTORITE  C12-15 ALKYL BENZOATE  PROPANE  BHT  OCTYLDODECANOL  PROPYLENE CARBONATE  DIMETHICONOL  TOCOPHERYL ACETATE.
"CoverGirl Lip Perfection Jumbo Gloss Balm, Mauve Twist 275 Rating",Lip Balm,Ricinus Communis (Castor) Seed Oil  Vegetable Oil  Caprylic Triglyceride  Euphorbia Cerifera (Candelilla) Wax  Beeswax  Paraffin  Hydrogenated Vegetable Oil  Butyrospermum Parkii (Shea) Butter  Butyrospermum Parkii (Shea) Butter Extract  Microcrystalline Wax  Limnanthes Alba (Meadowfoam) Seed Oil  Helianthus Annuus (Sunflower) Seed Oil  Mangifera Indica (Mango) Seed Butter  Rosmarinus Officinalis (Rosemary) Flower Extract  Tocopherol  Phenoxyethanol  Ethylene/Propylene Copolymer  Polyethylene  May Contain: Titanium Dioxide  Red 28 Lake  Red 33 Lake  Red 30 Lake  Mica  Red 7 Lake  Iron Oxides  Red 6  Yellow 5 Lake  Carmine
"Lume Whole Body Deodorant, Toasted Coconut Rating",Antiperspirant/Deodorant,WATER  MANDELIC ACID  MARANTA ARUNDINACEA ROOT POWDER  TAPIOCA STARCH  ISOAMYL LAURATE  HYDROXYPROPYL STARCH PHOSPHATE  CETEARYL ALCOHOL  CAFFEINE  CAPRYLIC/CAPRIC TRIGLYCERIDE  BEHENYL ALCOHOL  HYDROGENATED CASTOR OIL  FRAGRANCE  ALOE BARBADENSIS LEAF JUICE  THEOBROMA CACAO (COCOA) SEED BUTTER  FLORAL PYRANOL  TOCOPHEROL  ALLANTOIN  PANTHENOL  SANDALROME  STEARYL ALCOHOL  DIMETHICONE  CETEARYL GLUCOSIDE  PENTYLENE GLYCOL  PHENYLPROPANOL  POTASSIUM HYDROXIDE  DIPROPYLENE GLYCOL  SODIUM BENZOATE  TETRASODIUM GLUTAMATE DIACETATE
Dove Men+Care Extra Fresh Antiperspirant Deodorant (2020 formulation),Antiperspirant/Deodorant,Active Ingredients: Aluminum Zirconium Tetrachlorohydrex GLY 15.2%; Inactive Ingredients: STEARYL ALCOHOL  C12-15 ALKYL BENZOATE  CYCLOPENTASILOXANE  ISOPROPYL PALMITATE  PPG-14 BUTYL ETHER  HYDROGENATED CASTOR OIL  PEG-8  FRAGRANCE (PARFUM)  DIMETHICONE  SILICA  POLYETHYLENE  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  STEARETH-100  BHT.
"Secret pH Balanced 24 HR Invisible Solid Deodorant, Shower Fresh Rating",Antiperspirant/Deodorant,Active Ingredients: Aluminum Zirconium Pentachlorohydrex GLY (Anhydrous) 18.0%; Inactive Ingredients: INACTIVE INGREDIENTS: CYCLOPENTASILOXANE  STEARYL ALCOHOL  MINERAL OIL  DIMETHICONE  PETROLATUM  HYDROGENATED CASTOR OIL  PPG-14 BUTYL ETHER  FRAGRANCE  CYCLODEXTRIN  BEHENYL ALCOHOL
"Lume Deodorant Stick, Juniper Berry (2020 formulation) Rating",Antiperspirant/Deodorant,Water  Mandelic Acid  Arrowroot Powder  Tapioca Starch  Isoamyl Laurate  Sodium Acrylate/ Acryloyldimethyltaurate/ Dimethylacrylamide Crosspolymer  Caffeine  Caprylic/Capric Triglyceride  Cetyl Alcohol  Isohexadecane  Glyceryl Stearate  PEG-100 Stearate  Sodium Lactate  Panthenol  Allantoin  Xanthan Gum  Sclerotium Gum  Tocopherol  Polysorbate 60  Lecithin  Pullulan  Aloe Barbadensis Leaf Juice  Ethylhexyglycerin  Phenoxyethanol  Tetrasodium Glutamate Diacetate  Silica  Fragrance*
Secret Aluminum Chlorohydrate Antiperspirant/deodorant Weightless Dry,Antiperspirant/Deodorant,Active Ingredients: Aluminum chlorohydrate (anhydrous) 24.5%; Inactive Ingredients: BUTANE  HYDROFLUOROCARBON 152A  DIMETHICONE  C12-15 ALKYL BENZOATE  ISOPROPYL MYRISTATE  PPG-14 BUTYL ETHER  FRAGRANCE  DISTEARDIMONIUM HECTORITE  MINERAL OIL  PROPYLENE CARBONATE  CORN STARCH/MALTODEXTRIN CROSSPOLYMER  DIMETHICONOL  ARGANIA SPINOSA KERNEL OIL
"Secret Aluminum Free 48 Hr Deodorant, Real Vanilla Rating",Antiperspirant/Deodorant,CYCLOPENTASILOXANE  STEARYL ALCOHOL  MAGNESIUM HYDROXIDE  MINERAL OIL  PPG-14 BUTYL ETHER  HYDROGENATED CASTOR OIL  PETROLATUM  FRAGRANCE  CYCLODEXTRIN  MAGNESIUM CARBONATE  CORN STARCH/MALTODEXTRIN CROSSPOLYMER  PIROCTONE OLAMINE  BEHENYL ALCOHOL  VANILLA PLANIFOLIA FRUIT EXTRACT
Purell Naturals Hand Sanitizer (2020 formulation) Rating,Hand Sanitizer,Active Ingredients: 70%  water (aqua)  isopropyl alcohol  aloe barbadensis leaf juice  caprylyl glycol  citrus aurantium dulcis (orange)peel oil  glycerin  isopropyl myristate  lavandula hybrida (lavandin) oil  litsea cubeba fruit oil  pelargonium graevolens (geranium) oil  pogostemon cablin oil  tocopheyl acetate  acrylates /C10-30 alkyl acrylate crosspolymer  aminornethyl propanol
"Pangea Lip Tint, Raspberry Beret Rating",Lip Balm,Helianthus Annus (Sunflower) Seed Oil*  Cera Alba (Beeswax)*  Ricinus Communis (Castor) Seed Oil*  Butyrospermum Parkii (Shea) Butter*  Citrus Sinensis (Sweet Orange) Oil*  Citrus Nobilis (Red Mandarin) Oil*  Cymbopogon Martini (Palmarosa) Oil*  Pelargonium Graveolens (Rose Geranium) Oil*  Rosa Damascena (Rose Otto) Oil*  Simmondsia Chinensis (Jojoba) Oil*  Lecithin*  Tocopherol  Aloe Barbadensis Leaf Juice (Aloe) Powder*  Calophyllum Inophyllum (Tamanu) Seed Oil*. *Organic Ingredients. May Contain: Mica (Ci 77019)  Iron Oxide (Ci 77491)  Titanium Dioxide (Ci 77891). This Product Is Gluten-Free.
Secret Aluminum Zirconium Trichlorohydrex Gly Antiperspirant/deodorant,Antiperspirant/Deodorant,"Active Ingredients: Aluminum zirconium trichlorohydrex
GLY (anhydrous) 20.0%; Inactive Ingredients: INACTIVE INGREDIENTS CYCLOPENTASILOXANE  TRIBEHENIN  DIMETHICONE  PETROLATUM  CYCLODEXTRIN  FRAGRANCE  C18-36 ACID TRIGLYCERIDE  PPG-14 BUTYL ETHER"
"Lume Cream Deodorant Stick, Clean Tangerine Rating",Antiperspirant/Deodorant,Water  Mandelic Acid  Maranta Arundinacea Root Powder  Tapioca Starch  Isoamyl Laurate  Hydroxypropyl Starch Phosphate  Cetearyl Alcohol  Caffeine  Caprylic/Capric Triglyceride  Behenyl Alcohol  Hydrogenated Castor Oil  Fragrance*  Aloe Barbadensis Leaf Juice  Theobroma Cacao (Cocoa) Seed Butter  Floral Pyranol  Tocopherol  Allantoin  Panthenol  Sandalrome  Stearyl Alcohol  Dimethicone  Cetearyl Glucoside  Pentylene Glycol  Phenylpropanol  Potassium Hydroxide  Dipropylene Glycol  Sodium Benzoate  Tetrasodium Glutamate Diacetate
Crest Pro-Health Advanced Active Strengthening Fluoride Toothpaste (2019,Toothpaste,Active Ingredients: Stannous Fluoride (0.16% W/V Fluoride Ion) 0.454%; Inactive Ingredients: GLYCERIN  HYDRATED SILICA  SODIUM HEXAMETAPHOSPHATE  PROPYLENE GLYCOL  PEG-6  WATER  ZINC LACTATE  FLAVOR  TRISODIUM PHOSPHATE  SODIUM GLUCONATE  SODIUM LAURYL SULFATE  CARRAGEENAN  SODIUM SACCHARIN  STANNOUS CHLORIDE  XANTHAN GUM  TITANIUM DIOXIDE  MICA  BLUE 1
"TopCare Everyday Antiseptic Mouthwash, Blue Mint (2019 formulation)",Mouthwash,Active Ingredients: EUCALYPTOL 0.092%  MENTHOL 0.042%  METHYL SALICYLATE 0.06%  THYMOL 0.064%; Inactive Ingredients: WATER  ALCOHOL 21.6%  SORBITOL SOLUTION  FLAVOR  POLOXAMER 407  BENZOIC ACID  SODIUM SACCHARIN  SODIUM BENZOATE  FD&C GREEN NO. 3
"Best Brands Hand Soap, Fresh Linen Rating",Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  COCOAMIDOPROPYL BETAINE  PEG-150 DISEARATE  GLYCERIN  FRAGRANCE  2-BROMO-2-NITRO PROPANE-1  3-DIOL  DISODIUM EDTA  METHYLCHLOROISOTHIAZOLI NONE  METHYLISOTHIAZOLINONE
"Lume Deodorant Tube, Silver Spruce (2020 formulation) Rating",Antiperspirant/Deodorant,Water  Mandelic Acid  Arrowroot Powder  Tapioca Starch  Isoamyl Laurate  Sodium Acrylate/ Acryloyldimethyltaurate/ Dimethylacrylamide Crosspolymer  Caffeine  Caprylic/Capric Triglyceride  Cetyl Alcohol  Theobroama Cacao (Cocoa) Seed Butter  Isohexadecane  Glyceryl Stearate  PEG-100 Stearate  Sodium Lactate  Panthenol  Allantoin  Xanthan Gum  Sclerotium Gum  Tocopherol  Polysorbate 60  Lecithin  Pullulan  Aloe Barbadensis Leaf Juice  Ethylhexyglycerin  Phenoxyethanol  Tetrasodium Glutamate Diacetate  Silica  Fragrance*
"Tom's of Maine Long Lasting Deodorant, Tea Tree (2020 formulation) Rating",Antiperspirant/Deodorant,PROPYLENE GLYCOL (VEGETABLE DERIVED)  WATER  SODIUM STEARATE  ORGANIC ALOE BARBADENSIS LEAF JUICE  GLYCERYL LAURATE  NATURAL FRAGRANCE  MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL  HUMULUS LUPULUS (HOPS)* CONE EXTRACT  ORGANIC HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  ASCORBIC ACID  ORGANIC CYMBOPOGON FLEXUOSUS OIL.
Colgate Advanced Icy Fresh Teeth Whitening Toothpaste Rating,Toothpaste,Active Ingredients: Sodium Monofluorophosphate (0.12% w/v Fluoride Ion) 0.76%; Inactive Ingredients: INACTIVE INGREDIENTS: PROPYLENE GLYCOL  CALCIUM PYROPHOSPHATE  PVP  PEG/PPG-116/66 COPOLYMER  PEG-12  GLYCERIN  FLAVOR  HYDROGEN PEROXIDE  SODIUM LAURYL SULFATE  SILICA  TETRASODIUM PYROPHOSPHATE  SODIUM SACCHARIN  DISODIUM PYROPHOSPHATE  SUCRALOSE  BHT
"JASON Simply Coconut Refreshing Toothpaste, Coconut Eucalyptus (2018",Toothpaste,Glycerin  Aloe Barbadensis Leaf Juice(1)  Calcium Carbonate  Sodium Cocoyl Glutamate  Citrus Limon (Lemon) Peel Oil  Citrus Paradisi (Grapefruit) Peel Oil  Cocos Nucifera (Coconut) Oil(1)  Eucalyptus Globulus Leaf Oil  Gaultheria Procumbens (Wintergreen) Leaf Oil  Helianthus Annuus (Sunflower) Seed Oil  Melaleuca Alternifolia (Tea Tree) Leaf Oil  Mentha Piperita (Peppermint) Oil  Mentha Viridis (Spearmint) Leaf Oil  Bambusa Arundinacea Stem Powder  Citrus Grandis (Grapefruit) Seed Extract  Commiphora Myrrha Resin Extract  Ascorbic Acid  Cellulose Gum  Sodium Bicarbonate  Flavor(2)  (1)Certified Organic Ingredient  (2)Natural
"Dove Advanced Care Dry Spray Antiperspirant Deodorant, Clear Minerals",Antiperspirant/Deodorant,Active Ingredients: Aluminum Sesquichlorohydrate 15.2%; Inactive Ingredients: BUTANE  HYDROFLUOROCARBON 152A  CYCLOPENTASILOXANE  ISOBUTANE  PPG-14 BUTYL ETHER  GLYCINE  FRAGRANCE  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  C12-15 ALKYL BENZOATE  DISTEARDIMONIUM HECTORITE  CALCIUM CHLORIDE  PROPANE  BHT  OCTYLDODECANOL  PROPYLENE CARBONATE  DIMETHICONOL  ALPHA-ISOMETHYL IONONE  BENZYL ALCOHOL  BENZYL SALICYLATE  CITRAL  GERANIOL  HEXYL CINNAMAL  LIMONENE  LINALOOL
"Up & Up Anticavity Mouthwash, Mint (2019 formulation) Rating",Mouthwash,ACTIVE INGREDIENT: SODIUM FLUORIDE 0.02%  INACTIVE INGREDIENTS: WATER  ALCOHOL (21.6%)  SORBITOL  POLOXAMER 407  EUCALYPTOL  FLAVOR  METHYL SALICYLATE  SODIUM SACCHARIN  THYMOL  PHOSPHORIC ACID  SUCRALOSE  MENTHOL  DISODIUM PHOSPHATE  RED 40  BLUE 1
"Burt's Bees Flavour Crystals Lip Balm, Red Raspberry (2019 formulation)",Lip Balm,CERA ALBA  HELIANTHUS ANNUUS SEED OIL  COCOS NUCIFERA OIL  AROMA  MALTODEXTRIN  RUBUS IDAEUS FRUIT EXTRACT  BEHENYL OLIVATE  BUTYROSPERMUM PARKII BUTTER  HELIANTHUS ANNUUS SEED WAX  RICINUS COMMUNIS SEED OIL  CANDELILLA CERA  OLEA EUROPAEA OIL UNSAPONIFIABLES  ROSMARINUS OFFICINALIS LEAF EXTRACT  GLYCINE SOJA OIL  GLYCERYL ROSINATE  HYDRATED SILICA  TOCOPHEROL  REBAUDIOSIDE A  BENZYL BENZOATE  BENZYL CINNAMATE  CITRAL  LIMONENE  LINALOOL.
"AXE FRESH 24H Deodorant Stick, Excite Rating",Antiperspirant/Deodorant,DIPROPYLENE GLYCOL  WATER (AQUA)  PROPYLENE GLYCOL  SODIUM STEARATE  C12-15 ALKYL BENZOATE  FRAGRANCE  DISODIUM EDTA  BHT  SIMETHICONE  GREEN 3 (CI 42053)
"Dove Clinical Protection Deodorant, Original Clean (2019 formulation)",Antiperspirant/Deodorant,Active Ingredients: Aluminum Zirconium Tetrachlorohydrex GLY 20.0%; Inactive Ingredients: CYCLOPENTASILOXANE  DIMETHICONE  PPG-14 BUTYL ETHER  PARAFFIN  MICROCRYSTALLINE WAX  FRAGRANCE  SILICA  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  DIMETHICONE CROSSPOLYMER  BHT.
"ChapStick Lip Balm, Strawberry Ice Pop (2020 formulation) Rating",Lip Balm,PETROLATUM  PARAFFIN  MINERAL OIL  OCTYLDODECANOL  BIS-DIGLYCERYL POLYACYLADIPATE-2  ARACHIDYL PROPIONATE  PHENYL TRIMETHICONE  BEESWAX  CAPRYLIC/CAPRIC TRIGLYCERIDE  TRIACETIN  COPERNICIA CERIFERA (CARNAUBA) WAX  ISOPROPYL MYRISTATE  CETYL ALCOHOL  LECITHIN (SOY)  ALCOHOL  BENZYL BENZOATE  FLAVOR  SACCHARIN  SYNTHETIC WAX  RED 40 LAKE  ISOPROPYL TITANIUM TRIISOSTEARATE
"Degree MotionSense Invisible Solid, Daisy Fresh Rating",Antiperspirant/Deodorant,Active Ingredients: Aluminum Zirconium Tetrachlorohydrex GLY 19.2%; Inactive Ingredients: INACTIVE INGREDIENTS: CYCLOPENTASILOXANE  STEARYL ALCOHOL  C12-15 ALKYL BENZOATE  PPG-14 BUTYL ETHER  HYDROGENATED CASTOR OIL  FRAGRANCE (PARFUM)  POLYETHYLENE  CAPRYLIC/CAPRIC TRIGLYCERIDE  SODIUM STARCH OCTENYLSUCCINATE  MALTODEXTRIN  HYDRATED SILICA  HYDROLYZED CORN STARCH  GELATIN CROSSPOLYMER  BHT  SILICA  CELLULOSE GUM
Burt's Bees Tinted Lip Oil (2018 formulation) Rating,Lip Balm,CAPRYLOYL GLYCERIN/SEBACIC ACID COPOLYMER  RICINUS COMMUNIS (CASTOR) SEED OIL  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  C13-15 ALKANE  CERA ALBA [BEESWAX]  LIMNANTHES ALBA (MEADOWFOAM) SEED OIL  AROMA [FLAVOR]  COCOS NUCIFERA (COCONUT) OIL  SILICA  BUTYROSPERMUM PARKII (SHEA) BUTTER  GLYCINE SOJA (SOYBEAN) OIL  TOCOPHEROL  GLYCERYL BEHENATE  ALUMINA  LINALOOL. MAY CONTAIN [+/-]: CI 75470 [CARMINE)  CI 77491  CI 77492  CI 77499 (IRON OXIDES)  C177891 [TITANIUM DIOXIDE].
"Raw Sugar Nutrient Rich Hand Wash, Aloe Vera + Blue Sage Rating",Liquid Hand Soap,Purified Water (Aqua)  Cocamidopropyl Betaine  Sodium C14-16 Olefin Sulfonate  Niacinamide (Vitamin B3)  Calcium D-Pantothenate  Sodium Ascorbyl Phosphate  Tocopheryl Acetate  Pyridoxine (Vitamin B6)  Maltodextrin  Sodium Starch Octenylsuccinate  Silica  *Aloe Barbadensis (Aloe Vera) Leaf Juice  Salvia Officinalis (Sage) Oil  Hydrolyzed Vegetable Protein  Sodium Hyaluronate  Glycerin  Decyl Glucoside  Sodium Cocoamphoacetate  Lauryl Glucoside  Sodium Cocoyl Glutamate  Sodium Lauryl Glucose Carboxylate  Sodium Lauroyl Sarcosinate  Polysorbate 20  Polyquaternium-7  PEG-150 Distearate  Guar Hydroxypropyltrimonium Chloride  Citric Acid  Phenoxyethanol  Dehydroacetic Acid  Benzyl Alcohol  Fragrance (Parfum) *Certified Organic/Cold Pressed Extracts
Degree Anti-Perspirant & Deodorant Sheer Powder Degree Women Rating,Antiperspirant/Deodorant,"Aluminum Zirconium Tetrachlorohydrex GLY (18.2%)
Isopropyl Palmitate
Stearyl Alcohol
Cyclopentasiloxane
PPG-14 Butyl Ether
Mineral Oil
Talc
Hydrogenated Castor Oil
Fragrance (Parfum)
Steareth-100
BHT"
Secret Solid Aluminum Zirconium Trichlorohydrex Gly,Antiperspirant/Deodorant,Active Ingredients: ALUMINUM ZIRCONIUM TRICHLOROHYDREX GLY %; Inactive Ingredients: INACTIVE INGREDIENTS CYCLOPENTASILOXANE  STEARYL ALCOHOL  TALC  MINERAL OIL  DIMETHICONE  HYDROGENATED CASTOR OIL  PPG-14 BUTYL ETHER  PETROLATUM  FRAGRANCE  BEHENYL ALCOHOL
Best Choice Antibacterial Hand Soap With Moisturizers Refill for,Liquid Hand Soap,Active Ingredients: BENZALKONIUM CHLORIDE 0.13%; Inactive Ingredients: WATER  LAURAMINE OXIDE  COCAMIDOPROPYL BETAINE  LAURAMIDOPROPYLAMINE OXIDE  SODIUM CHLORIDE  MYRISTAMIDOPROPYLAMINE OXIDE  GLYCERIN  FRAGRANCE  DISTEARETH-75 IPDI  PEG-150 DISTEARATE  CITRIC ACID  TETRASODIUM EDTA  BENZOPHENONE-4  SODIUM BENZOATE  RED 4  YELLOW 5
